name,mark,quotye
"大鱼, / Big Fish",8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。

"射雕英雄传之东成西就, / 射鵰英雄傳之東成西就",8.7,百看不厌。 

"春光乍泄, / 春光乍洩",8.7,爱情纠缠，男女一致。

大闹天宫,9.2,经典之作，历久弥新。

"阳光姐妹淘, / 써니",8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 

"重庆森林, / 重慶森林",8.6,寂寞没有期限。

"上帝之城, / Cidade de Deus",8.9,被上帝抛弃了的上帝之城。

"禁闭岛, / Shutter Island",8.6,昔日翩翩少年，今日大腹便便。

甜蜜蜜,8.7,逢只要一瞬间，等待却像是一辈子。

"致命ID, / Identity",8.6,最不可能的那个人永远是最可能的。

告白,8.6,没有一人完全善，也没有一人完全恶。

一一,8.9,我们都曾经是一一。

"加勒比海盗, / Pirates of the Caribbean: The Curse of the Black Pearl",8.6,约翰尼·德普的独角戏。

"爱在黎明破晓前, / Before Sunrise",8.7,缘分是个连绵词，最美不过一瞬。

"萤火虫之墓, / 火垂るの墓",8.7,幸福是生生不息，却难以触及的远。 

"阿凡达, / Avatar",8.6,绝对意义上的美轮美奂。

"风之谷, / 風の谷のナウシカ",8.8,动画片的圣经。

"布达佩斯大饭店, / The Grand Budapest Hotel",8.7,小清新的故事里注入了大历史的情怀。

"狩猎, / Jagten",9.0,人言可畏。

"断背山, / Brokeback Mountain",8.6,每个人心中都有一座断背山。

"爱在日落黄昏时, / Before Sunset",8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。

"侧耳倾听, / 耳をすませば",8.8,少女情怀总是诗。

"猫鼠游戏, / Catch Me If You Can",8.7,骗子大师和执著警探的你追我跑故事。 

"摩登时代, / Modern Times",9.2,大时代中的人生，小人物的悲喜。

"驯龙高手, / How to Train Your Dragon",8.7,和谐的生活离不开摸头与被摸头。

"海洋, / Océans",9.0,大海啊，不全是水。

"末代皇帝, / The Last Emperor",8.8,“不要跟我比惨，我比你更惨”再适合这部电影不过了。

"超脱, / Detachment",8.7,穷尽一生，我们要学会的，不过是彼此拥抱。

"哈利·波特与魔法石, / Harry Potter and the Sorcerer's Stone",8.6,童话世界的开端。

"幸福终点站, / The Terminal",8.6,有时候幸福需要等一等。 

"燃情岁月, / Legends of the Fall",8.8,传奇，不是每个人都可以拥有。

"谍影重重3, / The Bourne Ultimatum",8.7,像吃了苏打饼一样干脆的电影。

"穿条纹睡衣的男孩, / The Boy in the Striped Pajamas",8.8,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。

"电锯惊魂, / Saw",8.6,真相就在眼前。

"神偷奶爸, / Despicable Me",8.5,Mr. I Don't Care其实也有Care的时候。

"菊次郎的夏天, / 菊次郎の夏",8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。

"真爱至上, / Love Actually",8.5,爱，是个动词。

"借东西的小人阿莉埃蒂, / 借りぐらしのアリエッティ",8.7,曾经的那段美好会沉淀为一辈子的记忆。

"虎口脱险, / La grande vadrouille",8.9,永远看不腻的喜剧。

"岁月神偷, / 歲月神偷",8.6,岁月流逝，来日可追。

"雨人, / Rain Man",8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。

倩女幽魂,8.6,两张绝世的脸。 

"贫民窟的百万富翁, / Slumdog Millionaire",8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁

"七武士, / 七人の侍",9.1,时代悲歌。

"消失的爱人, / Gone Girl",8.7,

"记忆碎片, / Memento",8.5,一个针管引发的血案。

"东邪西毒, / 東邪西毒",8.6,电影诗。

"恐怖直播, / 더 테러 라이브",8.7,恐怖分子的“秋菊打官司”。

"疯狂原始人, / The Croods",8.7,老少皆宜，这就是好莱坞动画的魅力。

"怪兽电力公司, / Monsters, Inc.",8.6,不要给它起名字，起了名字就有感情了。

"杀人回忆, / 살인의 추억",8.6,关于连环杀人悬案的集体回忆。

"穿越时空的少女, / 時をかける少女",8.6,爱上未来的你。 

"卢旺达饭店, / Hotel Rwanda",8.8,当这个世界闭上双眼，他却敞开了怀抱。

"红辣椒, / パプリカ",8.8,梦的勾结。

"魂断蓝桥, / Waterloo Bridge",8.8,中国式内在的美国电影。

"恋恋笔记本, / The Notebook",8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 

"黑天鹅, / Black Swan",8.5,黑暗之美。

"猜火车, / Trainspotting",8.5,不可猜的青春迷笛。 

英雄本色,8.7,英雄泪短，兄弟情长。 

"傲慢与偏见, / Pride & Prejudice",8.4,爱是摈弃傲慢与偏见之后的曙光。

喜宴,8.7,中国家庭的喜怒哀乐忍。

"教父3, / The Godfather: Part III",8.7,任何信念的力量，都无法改变命运。

"雨中曲, / Singin' in the Rain",8.9,骨灰级歌舞片。

"完美的世界, / A Perfect World",9.0,坏人的好总是比好人的好来得更感人。

"玩具总动员3, / Toy Story 3",8.7,跨度十五年的欢乐与泪水。

"纵横四海, / 緃横四海",8.7,香港浪漫主义警匪动作片的巅峰之作。

"人工智能, / Artificial Intelligence: AI",8.6,对爱的执着，可以超越一切。

"萤火之森, / 蛍火の杜へ",8.7,触不到的恋人。

"小森林 夏秋篇, / リトル・フォレスト 夏・秋",8.9,

"我是山姆, / I Am Sam",8.8,爱并不需要智商 。

"喜剧之王, / 喜劇之王",8.4,我是一个演员。

"香水, / Perfume: The Story of a Murderer",8.4,一个单凭体香达到高潮的男人。

"冰川时代, / Ice Age",8.4,松鼠才是角儿。

"浪潮, / Die Welle",8.7,世界离独裁只有五天。

"撞车, / Crash",8.6,天使与魔鬼的冲撞。

"哈利·波特与死亡圣器(下), / Harry Potter and the Deathly Hallows: Part 2",8.6,10年的完美句点。

"7号房的礼物, / 7번방의 선물",8.7,《我是山姆》的《美丽人生》。

"秒速5厘米, / 秒速5センチメートル",8.4,青春就是放弃和怀念。

"朗读者, / The Reader",8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 

"碧海蓝天, / Le grand bleu",8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。

"追随, / Following",9.0,诺兰的牛逼来源于内心散发出的恐惧。

"花样年华, / 花樣年華",8.4,偷情本没有这样美。

"罗生门, / 羅生門",8.7,人生的N种可能性。

"梦之安魂曲, / Requiem for a Dream",8.7,一场没有春天的噩梦。

"战争之王, / Lord of War",8.5,做一颗让别人需要你的棋子。

可可西里,8.6,坚硬的信仰。

"海盗电台, / The Boat That Rocked",8.6,生命不止，摇滚不死。

"一次别离, / جدایی نادر از سیمین",8.7,只有有信仰的人才能说出事实真相。

心迷宫,8.6,

"唐伯虎点秋香, / 唐伯虎點秋香",8.3,华太师是黄霑，吴镇宇四大才子之一。

"超能陆战队, / Big Hero 6",8.6,

"时空恋旅人, / About Time",8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。

"谍影重重2, / The Bourne Supremacy",8.5,谁说王家卫镜头很晃？

"谍影重重, / The Bourne Identity",8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。

"迁徙的鸟, / Le peuple migrateur",9.1,最美的飞翔。

"荒野生存, / Into the Wild",8.6,出门必备：本草纲目。

"地球上的星星, / Taare Zameen Par",8.8,天使保护事件始末。

"蝙蝠侠：黑暗骑士崛起, / The Dark Knight Rises",8.5,诺兰就是保证。

"阿飞正传, / 阿飛正傳",8.5,王家卫是一种风格，张国荣是一个代表。

"绿里奇迹, / The Green Mile",8.7,天使暂时离开。

"勇闯夺命岛, / The Rock",8.5,类型片的极致。 

"燕尾蝶, / スワロウテイル",8.6,现实与童话交相辉映的旅程。

"恐怖游轮, / Triangle",8.3,不要企图在重复中寻找已经失去的爱。

"荒蛮故事, / Relatos salvajes",8.7,

"惊魂记, / Psycho",8.8,故事的反转与反转，分裂电影的始祖。

"卡萨布兰卡, / Casablanca",8.6,与同名歌曲无关。

"魔女宅急便, / 魔女の宅急便",8.4,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。

"再次出发之纽约遇见你, / Begin Again",8.5,爱我就给我看你的播放列表。

"达拉斯买家俱乐部, / Dallas Buyers Club",8.6,Jared Leto的腿比女人还美！

"小森林 冬春篇, / リトル・フォレスト 冬・春",8.9,

"英国病人, / The English Patient",8.4,"In memory, love lives forever..."

"这个男人来自地球, / The Man from Earth",8.5,科幻真正的魅力不是视觉效果能取代的。 

"变脸, / Face/Off",8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯

"东京物语, / 東京物語",9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。

"终结者2：审判日, / Terminator 2: Judgment Day",8.5,少见的超越首部的续集，动作片中的经典。

"未麻的部屋, / Perfect Blue",8.8,好的剧本是，就算你猜到了结局也猜不到全部。

"叫我第一名, / Front of the Class",8.6,乐观比一切都有力量。

"E.T. 外星人, / E.T.: The Extra-Terrestrial",8.5,生病的E.T.皮肤的颜色就像柿子饼。

"被解救的姜戈, / Django Unchained",8.5,热血沸腾，那个低俗、性感的无耻混蛋又来了。

"牯岭街少年杀人事件, / 牯嶺街少年殺人事件",8.7,弱者送给弱者的一刀。

"爆裂鼓手, / Whiplash",8.6,

"末路狂花, / Thelma & Louise",8.7,没有了退路，只好飞向自由。

"穆赫兰道, / Mulholland Dr.",8.3,大卫·林奇的梦境迷宫。

"发条橙, / A Clockwork Orange",8.4,我完全康复了。

哪吒闹海,8.8,想你时你在闹海。

"忠犬八公物语, / ハチ公物語",9.0,养狗三日，便会对你终其一生。

"源代码, / Source Code",8.3,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。

"非常嫌疑犯, / The Usual Suspects",8.6,我不信仰上帝，但我敬畏上帝。

"黑客帝国3：矩阵革命, / The Matrix Revolutions",8.5,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。

"新龙门客栈, / 新龍門客棧",8.4,嬉笑怒骂，调风动月。

"美国丽人, / American Beauty",8.4,每个人的内心都是深不可测的大海。 

青蛇,8.4,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。

"黄金三镖客, / Il buono, il brutto, il cattivo.",9.1,最棒的西部片。

"上帝也疯狂, / The Gods Must Be Crazy",8.6,纯净原始的笑与感动。

"爱·回家, / 집으로...",9.1,献给所有外婆的电影。

"无耻混蛋, / Inglourious Basterds",8.4,昆汀同学越来越变态了，比北野武还杜琪峰。

"勇士, / Warrior",8.9,热血沸腾，相当完美的娱乐拳击大餐。

"初恋这件小事, / สิ่งเล็กเล็กที่เรียกว่า...รัก",8.2,黑小鸭速效美白记。

"城市之光, / City Lights",9.2,永远的小人物，伟大的卓别林。

"曾经, / Once",8.3,有些幸福无关爱情。

"蓝色大门, / 藍色大門",8.2,青春的窃窃私语。 

"麦兜故事, / 麥兜故事",8.5,麦兜是一只很哲学的猪。 

"暖暖内含光, / Eternal Sunshine of the Spotless Mind",8.4,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。

"蝴蝶, / Le Papillon",8.6,我们长途跋涉寻找的东西，有可能一直就在身边。 

"无敌破坏王, / Wreck-It Ralph",8.7,迪士尼和皮克斯拿错剧本的产物。

"与狼共舞, / Dances with Wolves",8.9,充满诗意与情怀的史诗作品。 

"巴黎淘气帮, / Le petit Nicolas",8.6,四百击的反面。

"大卫·戈尔的一生, / The Life of David Gale",8.7,捍卫人权只是信仰，一点不妨碍其行为的残忍。

"遗愿清单, / The Bucket List",8.5,用剩余不多的时间，去燃烧整个生命。

"国王的演讲, / The King's Speech",8.3,皇上无话儿。

"血钻, / Blood Diamond",8.5,每个美丽事物背后都是滴血的现实。

"夜访吸血鬼, / Interview with the Vampire: The Vampire Chronicles",8.3,弥漫淡淡血腥气的优雅。

"偷拐抢骗, / Snatch",8.5,典型盖·里奇式的英国黑色幽默黑帮片。

"两小无猜, / Jeux d'enfants",8.2,"Love me, if you dare. "

"爱在暹罗, / รักแห่งสยาม",8.3,把爱放在心底，有爱就有希望。

"荒岛余生, / Cast Away",8.4,一个人的独角戏。

"中央车站, / Central do Brasil",8.7,心灵救赎。

"模仿游戏, / The Imitation Game",8.5,

"月球, / Moon",8.5,2009媲美《第九区》的又一部科幻神作。

"千钧一发, / Gattaca",8.7,一部能引人思考的科幻励志片。

"罪恶之城, / Sin City",8.4,权力不是来自枪和子弹，权力来自谎言。

疯狂的石头,8.2,中国版《两杆大烟枪》。

"寿司之神, / Jiro Dreams of Sushi",8.8,仪式主义的狂欢，偏执狂的完胜。

"枪火, / 鎗火",8.6,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。

"我爱你, / 그대를 사랑합니다",9.0,你要相信，这世上真的有爱存在，不管在什么年纪 

"爱在午夜降临前, / Before Midnight",8.7,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。

"廊桥遗梦, / The Bridges of Madison County",8.5,这样确切的爱，一生只有一次。

"角斗士, / Gladiator",8.4,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。

"假如爱有天意, / 클래식",8.2,琼瑶阿姨在韩国的深刻版。

"黑鹰坠落, / Black Hawk Down",8.5,还原真实而残酷的战争。

"导盲犬小Q, / クイール",8.4,宠物的意义在于化解人的孤独。

